Rank,Player,Position,Age,Team,Played,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
462,Lindy Waters III,Shooting Guard,26,OKC,8,0,7.8,1,2.3,0.9,2.1,0.1,0.1,0,0,0.1,0.6,0.8,0.6,0,0.1,0.5,2.9
463,Trendon Watford,Power Forward,23,BRK,14,0,14.5,2.8,5.4,0.4,1,2.4,4.4,0.9,1,1.1,2.5,3.6,1.8,0.5,0.2,2.1,6.9
464,Peyton Watson,Small Forward,21,DEN,21,0,15.6,2,4,0.2,1,1.8,3,0.7,1.1,0.4,1.6,2,0.9,0.5,1,1.5,4.8
465,Victor Wembanyama,Power Forward,20,SAS,20,20,30.3,7.1,16.4,1.3,5.1,5.8,11.3,3.6,4.4,2.4,7.8,10.2,2.6,1.3,2.7,2.5,19
466,Blake Wesley,Shooting Guard,20,SAS,5,0,4.8,0.6,1.6,0,0.2,0.6,1.4,0.2,0.4,0.2,0.2,0.4,1,0,0.2,0.6,1.4
467,Russell Westbrook,Point Guard,35,LAC,21,10,25.7,4.6,10.6,0.7,2.6,3.9,8,1.7,2.7,1.6,5,6.6,4.9,1.2,0.5,2.3,11.5
468,Coby White,Point Guard,23,CHI,23,23,33.7,5.5,12.7,3,7.1,2.5,5.6,1.7,2,0.3,3.1,3.4,4.3,0.9,0.3,2.7,15.6
469,Derrick White,Shooting Guard,29,BOS,18,18,32.4,4.9,10.3,2.4,5.8,2.6,4.5,3.1,3.6,0.7,3.1,3.8,5.2,1.1,0.9,2.4,15.4
470,Cam Whitmore,Small Forward,19,HOU,5,0,6.4,1.4,3,0.2,1,1.2,2,1,2,0.2,1.4,1.6,0.4,0.2,0,0.4,4
471,Aaron Wiggins,Shooting Guard,25,OKC,19,0,12.5,1.9,3.1,0.5,1.2,1.4,1.9,0.8,1.1,0.5,1.6,2.1,0.7,0.5,0.1,1.1,5.2
472,Andrew Wiggins,Small Forward,28,GSW,20,20,27.5,4.9,11.7,0.9,3.3,4,8.4,1.9,3,1.9,2.5,4.4,1.2,0.3,0.4,2.5,12.6
473,Lindell Wigginton,Point Guard,25,MIL,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
474,Grant Williams,Power Forward,25,DAL,19,19,28.8,3.3,7.7,2.3,5.6,1,2.2,1.1,1.6,1.2,2.6,3.7,1.7,0.3,0.6,2.6,9.8
475,Jalen Williams,Power Forward,22,OKC,18,18,33.1,6.7,13,1.1,2.9,5.7,10.1,3.4,3.9,0.3,3.9,4.2,3.7,0.9,0.3,3,17.9
476,Jaylin Williams,Center,21,OKC,16,0,12.9,1.4,3.9,0.8,2.3,0.6,1.6,0.6,0.6,0.6,2.9,3.4,1.4,0.3,0.1,1.7,4.1
477,Jeenathan Williams,Shooting Guard,24,HOU,4,0,5.5,1.5,2.8,0,0.5,1.5,2.3,0.3,0.5,0,0,0,0.5,0.3,0,0.5,3.3
478,Kenrich Williams,Power Forward,29,OKC,11,0,15.8,2.2,4.2,0.9,2,1.3,2.2,0.3,0.9,0.7,2.1,2.8,1.5,0.4,0.2,2,5.5
479,Mark Williams,Center,22,CHO,19,19,26.7,5.2,7.9,0,0,5.2,7.9,2.4,3.4,4,5.7,9.7,1.2,0.8,1.1,2.6,12.7
480,Patrick Williams,Power Forward,22,CHI,23,13,25.3,3.2,7.3,1,3.1,2.1,4.3,1.2,1.7,1.1,3,4.2,1.3,1,1,1.6,8.6
481,Robert Williams,Center,26,POR,6,0,19.8,2.8,4.3,0,0,2.8,4.3,1.2,1.5,1.8,4.5,6.3,0.8,1.2,1.2,2.8,6.8
482,Vince Williams Jr,Shooting Guard,23,MEM,13,0,14.8,1.3,3.2,0.8,2.5,0.5,0.6,1,1.2,0.5,2.8,3.2,1.2,0.3,0.5,1.9,4.5
483,Ziaire Williams,Small Forward,22,MEM,19,8,20.2,2.8,7.2,1.2,3.4,1.6,3.7,1.1,1.3,0.6,3.4,4.1,1.2,0.5,0.3,1.8,8
484,Zion Williamson,Power Forward,23,NOP,19,19,30.9,8.8,15.3,0.1,0.3,8.7,15,4.5,7.1,1.9,3.7,5.6,4.8,1.1,0.3,2.6,22.2
485,Jalen Wilson,Power Forward,23,BRK,2,0,3.5,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0
486,Dylan Windler,Small Forward,27,NYK,3,0,2.3,0.3,0.7,0.3,0.7,0,0,0,0,0,0.3,0.3,0.3,0,0,0.3,1
487,James Wiseman,Center,22,DET,12,0,11.3,2.2,3.3,0,0.1,2.2,3.3,0.7,1.3,1.1,2.1,3.2,0.3,0.1,0.4,1.8,5
488,Christian Wood,Power Forward,28,LAL,22,1,19.7,2.4,5.4,0.6,2.4,1.8,3,1.4,2,1,4.9,5.9,0.9,0.2,0.5,1.7,6.9
489,Delon Wright,Point Guard,31,WAS,8,0,17.6,1.4,3.8,0.5,1.4,0.9,2.4,1.8,2,0.4,2.1,2.5,4.4,1.6,0.1,0.8,5
490,Thaddeus Young,Power Forward,35,TOR,3,0,3.3,0.7,1.3,0,0,0.7,1.3,0,0.7,0.3,0.7,1,1,0,0,0,1.3
491,Trae Young,Point Guard,25,ATL,19,19,36.1,8.3,20.1,3.1,8.7,5.2,11.4,7.6,8.8,0.7,2.1,2.8,10.6,1.5,0.1,1.5,27.2
492,Omer Yurtseven,Center,25,UTA,15,6,12.7,2.1,3.9,0.2,0.9,1.9,3,0.4,0.5,1.6,3.4,5,0.8,0.2,0.5,1.7,4.9
493,Cody Zeller,Center,31,NOP,19,0,9.7,0.5,1.7,0,0.1,0.5,1.7,0.7,1.3,1.2,1.8,3,1,0.2,0.1,1.2,1.7
494,Ivica Zubac,Center,26,LAC,21,21,26.6,5.1,8.2,0,0,5.1,8.2,1.8,3,3.2,6,9.1,0.9,0.2,1.5,2.8,12
